vacancy-name,salary,link
Фуллстек веб-разработчик (PHP/JavaScript/HTML/CSS),40 000-80 000 руб.,https://rostov.hh.ru/vacancy/28928362?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1С,40 000-80 000 руб.,https://rostov.hh.ru/vacancy/19099417?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1С,от 60 000 руб.,https://rostov.hh.ru/vacancy/27286606?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист PHP junior,20 000-40 000 руб.,https://rostov.hh.ru/vacancy/28904484?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
"Backend разработчик (php,yii)",75 000-90 000 руб.,https://rostov.hh.ru/vacancy/28461543?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Java to Scala разработчик,,https://rostov.hh.ru/vacancy/27553571?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
PHP Backend-разработчик,40 000-90 000 руб.,https://rostov.hh.ru/vacancy/28380643?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
JavaScript разработчик,,https://rostov.hh.ru/vacancy/28301419?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Начинающий программист 1С,,https://career.ru/vacancy/28428762?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист-стажер 1С,16 000-25 000 руб.,https://career.ru/vacancy/28741999?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Инженер-программист,45 000-50 000 руб.,https://rostov.hh.ru/vacancy/28883341?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Backend разработчик (Scala),от 70 000 руб.,https://rostov.hh.ru/vacancy/25094437?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Веб-программист-стажер (Junior разработчик),от 23 000 руб.,https://career.ru/vacancy/28846392?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Старший АВАР-разработчик (SAP),,https://rostov.hh.ru/vacancy/28941935?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Ведущий Frontend-разработчик JavaScript,,https://rostov.hh.ru/vacancy/27808646?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист ERP,от 40 000 руб.,https://rostov.hh.ru/vacancy/28101806?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
"Ведущий разработчик мобильных приложений (iOs, Android)",,https://rostov.hh.ru/vacancy/27807377?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Разработчик Data / Разработчик баз данных,,https://rostov.hh.ru/vacancy/27540145?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Web-разработчик / администратор,,https://rostov.hh.ru/vacancy/28356419?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Frontend-разработчик,,https://rostov.hh.ru/vacancy/28762463?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Разработчик 1С,,https://rostov.hh.ru/vacancy/28885316?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
"Frontend-разработчик (JS, Vue, React, Middle)",от 120 000 руб.,https://rostov.hh.ru/vacancy/28922196?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Frontend developer / фронтэнд разработчик,от 50 000 руб.,https://career.ru/vacancy/28733872?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1C 8.3 (проект перехода с 7.7 на 8.3),от 100 000 руб.,https://rostov.hh.ru/vacancy/28896459?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
